Date,Player,Club Name,Club Type,Club Speed,Attack Angle,Club Path,Club Face,Face to Path,Ball Speed,Smash Factor,Launch Angle,Launch Direction,Backspin,Sidespin,Spin Rate,Spin Rate Type,Spin Axis,Apex Height,Carry Distance,Carry Deviation Angle,Carry Deviation Distance,Total Distance,Total Deviation Angle,Total Deviation Distance,Note,Tag,Air Density,Temperature,Air Pressure,Relative Humidity
,,,,[km/h],[deg],[deg],[deg],[deg],[km/h],,[deg],[deg],[rpm],[rpm],[rpm],,[deg],[m],[Yards],[deg],[Yards],[Yards],[deg],[Yards],,,[g/L],[deg F],[kPa],[%]
4/19/25 11:11:55 AM,Luis,60,Lob Wedge,,,,0.0,,99.79191769454201,-27.719999313354492,45.70000076293945,-2.9600000381469727,2448.03466796875,-136.0092010498047,2451.81005859375,Measured,3.180000066757202,20.469999313354492,65.95581952459648,-2.549999952316284,-2.930883712551621,72.6924772754846,-2.4600000381469727,-3.1167977959673756,,,1.1944871,71.6,101.7,50
4/19/25 11:13:26 AM,Luis,60,Lob Wedge,,,,0.0,,112.31991289065171,-31.200000762939453,34.709999084472656,-2.5999999046325684,5752.93994140625,-479.0434875488281,5772.85009765625,Measured,4.760000228881836,18.950000762939453,78.80577160826088,-1.3200000524520874,-1.815398038737313,84.43788176342154,-1.2100000381469727,-1.7825896710757092,,,1.1944871,71.6,101.7,50
4/19/25 11:14:07 AM,Luis,60,Lob Wedge,,,,0.0,,101.2319220357026,-28.1200008392334,49.939998626708984,-3.9000000953674316,1286.344970703125,11.899344444274902,1286.4000244140625,Measured,-0.5299999713897705,23.280000686645508,68.33989684871698,-4.329999923706055,-5.161854538704779,76.19203649272235,-4.300000190734863,-5.708661187873633,,,1.1944871,71.6,101.7,50
4/19/25 11:15:05 AM,Luis,60,Lob Wedge,,,,0.0,,96.83992115477206,-26.899999618530273,52.41999816894531,6.150000095367432,1281.257080078125,-15.430630683898926,1281.3499755859375,Measured,0.6899999976158142,22.610000610351562,61.1439193431891,6.809999942779541,7.250656293133113,68.81014672894281,6.75,8.09273851199413,,,1.1944871,71.6,101.7,50
4/19/25 11:15:33 AM,Luis,60,Lob Wedge,,,,0.0,,128.95189573985058,-35.81999969482422,20.170000076293945,-5.960000038146973,5925.2119140625,463.2027587890625,5943.2900390625,Measured,-4.46999979019165,12.90999984741211,96.1395490617994,-7.880000114440918,-13.178040453559563,105.80708661417323,-7.960000038146973,-14.654417780544918,,,1.1944871,71.6,101.7,50
4/19/25 11:16:08 AM,Luis,60,Lob Wedge,,,,0.0,,91.25992836534832,-25.350000381469727,58.13999938964844,12.850000381469727,1517.83544921875,-182.6031951904297,1528.780029296875,Measured,6.860000133514404,22.489999771118164,48.315835854304225,15.510000228881836,12.926508852607414,54.18853809827269,15.40999984741211,14.402887222543685,,,1.1944871,71.6,101.7,50
4/19/25 11:16:24 AM,Luis,60,Lob Wedge,,,,0.0,,105.47991286948766,-29.299999237060547,47.709999084472656,-1.340000033378601,1877.124267578125,250.4618377685547,1893.760009765625,Measured,-7.599999904632568,23.93000030517578,72.04724109078956,-3.109999895095825,-3.904199402059053,79.9540689089584,-3.2300000190734863,-4.494750802181107,,,1.1944871,71.6,101.7,50
4/19/25 11:16:51 AM,Luis,60,Lob Wedge,,,,0.0,,106.73991323477838,-29.649999618530273,50.939998626708984,-2.609999895095825,1427.532958984375,4.484742164611816,1427.5400390625,Measured,-0.18000000715255737,26.389999389648438,72.2222232234551,-2.9100000858306885,-3.6636044451362295,81.00393667412972,-2.880000114440918,-4.068241501104801,,,1.1944871,71.6,101.7,50
4/19/25 11:17:45 AM,Luis,54,Sand Wedge,,,,0.0,,124.09190512100714,-34.470001220703125,40.720001220703125,-6.769999980926514,3235.466552734375,723.2124633789062,3315.31005859375,Measured,-12.600000381469727,27.270000457763672,92.44313077350927,-11.630000114440918,-18.63517160490742,100.66710744942893,-11.789999961853027,-20.57086555767977,,,1.1944871,71.6,101.7,50
4/19/25 11:18:10 AM,Luis,54,Sand Wedge,,,,0.0,,111.52790912972347,-30.979999542236328,44.04999923706055,2.5,3880.3095703125,118.5541763305664,3882.1201171875,Measured,-1.75,24.489999771118164,74.92344940532641,2.3299999237060547,3.0402449380903,81.08048927126907,2.259999990463257,3.204287037136048,,,1.1944871,71.6,101.7,50
4/19/25 11:18:37 AM,Luis,54,Sand Wedge,,,,0.0,,123.55190005984713,-34.31999969482422,43.150001525878906,-2.4100000858306885,2709.322509765625,151.94898986816406,2713.580078125,Measured,-3.2100000381469727,29.049999237060547,91.88538565514699,-3.680000066757202,-5.905511915318714,100.42651118881746,-3.7100000381469727,-6.496063054703039,,,1.1944871,71.6,101.7,50
4/19/25 11:19:51 AM,Luis,G,Gap Wedge,,,,0.0,,119.98791060146839,-33.33000183105469,41.08000183105469,4.909999847412109,2238.34765625,-270.47344970703125,2254.6298828125,Measured,6.889999866485596,25.739999771118164,92.49781477586909,7.21999979019165,11.614173103192346,102.9308866432437,7.300000190734863,13.079615089837022,,,1.1944871,71.6,101.7,50
4/19/25 11:20:32 AM,Luis,G,Gap Wedge,,,,0.0,,134.20788823915814,-37.279998779296875,38.25,1.0199999809265137,2293.3447265625,-444.9503173828125,2336.110107421875,Measured,10.979999542236328,29.399999618530273,110.9798811864978,4.380000114440918,8.475503062117236,121.20516385723391,4.800000190734863,10.148731116547673,,,1.1944871,71.6,101.7,50
4/19/25 11:21:27 AM,Luis,G,Gap Wedge,,,,0.0,,129.4919008010106,-35.970001220703125,31.860000610351562,3.8299999237060547,4602.64453125,-367.0860900878906,4617.259765625,Measured,4.559999942779541,22.719999313354492,100.32808165329126,5.900000095367432,10.30183735377728,107.42563796690025,5.940000057220459,11.122047327530561,,,1.1944871,71.6,101.7,50
4/19/25 11:23:34 AM,Luis,P,Pitching Wedge,,,,0.0,,146.69988264009388,-40.75,33.529998779296875,-3.450000047683716,3093.34521484375,12.417551040649414,3093.3701171875,Measured,-0.23000000417232513,30.579999923706055,124.68285447969211,-3.9600000381469727,-8.595800670947511,135.55336499151596,-3.9100000858306885,-9.251968545655044,,,1.1944871,71.6,101.7,50
